   22   27     0     0  con    0  1.0D+00  2.4D-04  5.957D-05 -1.682D+00
   23   28     0     0  con    0  1.0D+00  2.8D-04  5.291D-05 -1.682D+00
   24   29     0     0  con    0  1.0D+00  1.2D-04  4.294D-05 -1.682D+00
   25   31     0     0  con    1  3.9D-01  2.5D-04  2.514D-05 -1.682D+00
   26   40     0     0  con    8  8.4D-05  2.1D-08  2.367D-05 -1.682D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

